component,model,district,year,value
Drought,CHIRPS,Nelson Mandela Bay,2021,3.59
Drought,CHIRPS,West Coast,2021,-0.24
Drought,CHIRPS,Central Karoo,2021,0.53
Drought,CHIRPS,Amathole,2021,0.46
Drought,CHIRPS,Buffalo City,2021,0.38
Drought,CHIRPS,Namakwa,2021,-0.03
Drought,CHIRPS,Chris Hani,2021,-0.09
Drought,CHIRPS,OR Tambo,2021,-0.24
Drought,CHIRPS,Pixley ka Seme,2021,0.12
Drought,CHIRPS,Joe Gqabi,2021,-0.22
Drought,CHIRPS,Alfred Nzo,2021,-0.26
Drought,CHIRPS,Ugu,2021,-0.26
Drought,CHIRPS,Xhariep,2021,-0.24
Drought,CHIRPS,Harry Gwala,2021,-0.26
Drought,CHIRPS,eThekwini,2021,-0.25
Drought,CHIRPS,uMgungundlovu,2021,-0.26
Drought,CHIRPS,ZF Mgcawu,2021,-0.23
Drought,CHIRPS,iLembe,2021,-0.26
Drought,CHIRPS,Mangaung,2021,-0.25
Drought,CHIRPS,Thabo Mofutsanyane,2021,-0.26
Drought,CHIRPS,uThukela,2021,-0.27
Drought,CHIRPS,uMzinyathi,2021,-0.26
Drought,CHIRPS,King Cetshwayo,2021,-0.25
Drought,CHIRPS,Lejweleputswa,2021,-0.25
Drought,CHIRPS,Frances Baard,2021,-0.24
Drought,CHIRPS,Zululand,2021,-0.26
Drought,CHIRPS,uMkhanyakude,2021,-0.25
Drought,CHIRPS,Fezile Dabi,2021,-0.26
Drought,CHIRPS,Amajuba,2021,-0.25
Drought,CHIRPS,Dr Ruth Segomotsi Mompati,2021,-0.24
Drought,CHIRPS,John Taolo Gaetsewe,2021,-0.23
Drought,CHIRPS,Dr Kenneth Kaunda,2021,-0.25
Drought,CHIRPS,Gert Sibande,2021,-0.21
Drought,CHIRPS,Ngaka Modiri Molema,2021,-0.25
Drought,CHIRPS,Sedibeng,2021,-0.25
Drought,CHIRPS,West Rand,2021,-0.26
Drought,CHIRPS,Ekurhuleni,2021,-0.25
Drought,CHIRPS,City of Johannesburg,2021,-0.25
Drought,CHIRPS,Nkangala,2021,-0.24
Drought,CHIRPS,Bojanala,2021,-0.25
Drought,CHIRPS,City of Tshwane,2021,-0.25
Drought,CHIRPS,Ehlanzeni,2021,-0.24
Drought,CHIRPS,Sekhukhune,2021,-0.24
Drought,CHIRPS,Waterberg,2021,-0.24
Drought,CHIRPS,Capricorn,2021,-0.24
Drought,CHIRPS,Mopani,2021,-0.24
Drought,CHIRPS,Vhembe,2021,-0.24
Drought,CHIRPS,Overberg,2022,-0.26
Drought,CHIRPS,Garden Route,2022,-0.26
Drought,CHIRPS,City of Cape Town,2022,-0.25
Drought,CHIRPS,Cacadu,2022,-0.26
Drought,CHIRPS,Cape Winelands,2022,-0.24
Drought,CHIRPS,Nelson Mandela Bay,2022,-0.25
Drought,CHIRPS,West Coast,2022,-0.24
Drought,CHIRPS,Central Karoo,2022,-0.25
Drought,CHIRPS,Amathole,2022,-0.27
Drought,CHIRPS,Buffalo City,2022,-0.27
Drought,CHIRPS,Namakwa,2022,-0.17
Drought,CHIRPS,Chris Hani,2022,-0.25
Drought,CHIRPS,OR Tambo,2022,-0.26
Drought,CHIRPS,Pixley ka Seme,2022,-0.24
Drought,CHIRPS,Joe Gqabi,2022,-0.24
Drought,CHIRPS,Alfred Nzo,2022,-0.26
Drought,CHIRPS,Ugu,2022,-0.26
Drought,CHIRPS,Xhariep,2022,-0.24
Drought,CHIRPS,Harry Gwala,2022,-0.26
Drought,CHIRPS,eThekwini,2022,-0.25
Drought,CHIRPS,uMgungundlovu,2022,-0.26
Drought,CHIRPS,ZF Mgcawu,2022,-0.23
Drought,CHIRPS,iLembe,2022,-0.26
Drought,CHIRPS,Mangaung,2022,-0.25
Drought,CHIRPS,Thabo Mofutsanyane,2022,-0.26
Drought,CHIRPS,uThukela,2022,-0.27
Drought,CHIRPS,uMzinyathi,2022,-0.26
Drought,CHIRPS,King Cetshwayo,2022,-0.25
Drought,CHIRPS,Lejweleputswa,2022,-0.25
Drought,CHIRPS,Frances Baard,2022,-0.24
Drought,CHIRPS,Zululand,2022,-0.26
Drought,CHIRPS,uMkhanyakude,2022,-0.25
Drought,CHIRPS,Fezile Dabi,2022,-0.26
Drought,CHIRPS,Amajuba,2022,-0.25
Drought,CHIRPS,Dr Ruth Segomotsi Mompati,2022,-0.24
Drought,CHIRPS,John Taolo Gaetsewe,2022,-0.23
Drought,CHIRPS,Dr Kenneth Kaunda,2022,-0.25
Drought,CHIRPS,Gert Sibande,2022,-0.26
Drought,CHIRPS,Ngaka Modiri Molema,2022,-0.25
Drought,CHIRPS,Sedibeng,2022,-0.25
Drought,CHIRPS,West Rand,2022,-0.26
Drought,CHIRPS,Ekurhuleni,2022,-0.25
Drought,CHIRPS,City of Johannesburg,2022,-0.25
Drought,CHIRPS,Nkangala,2022,-0.26
Drought,CHIRPS,Bojanala,2022,-0.25
Drought,CHIRPS,City of Tshwane,2022,-0.25
Drought,CHIRPS,Ehlanzeni,2022,-0.24
Drought,CHIRPS,Sekhukhune,2022,-0.24
Drought,CHIRPS,Waterberg,2022,-0.24
Drought,CHIRPS,Capricorn,2022,-0.23
Drought,CHIRPS,Mopani,2022,-0.24
Drought,CHIRPS,Vhembe,2022,-0.23
Drought,CHIRPS,Overberg,2023,-0.26
Drought,CHIRPS,Garden Route,2023,-0.26
Drought,CHIRPS,City of Cape Town,2023,-0.25
Drought,CHIRPS,Cacadu,2023,-0.26
Drought,CHIRPS,Cape Winelands,2023,-0.24
Drought,CHIRPS,Nelson Mandela Bay,2023,-0.26
Drought,CHIRPS,West Coast,2023,-0.24
Drought,CHIRPS,Central Karoo,2023,-0.25
Drought,CHIRPS,Amathole,2023,-0.27
Drought,CHIRPS,Buffalo City,2023,-0.27
Drought,CHIRPS,Namakwa,2023,-0.18
Drought,CHIRPS,Chris Hani,2023,-0.25
Drought,CHIRPS,OR Tambo,2023,-0.26
Drought,CHIRPS,Pixley ka Seme,2023,-0.24
Drought,CHIRPS,Joe Gqabi,2023,-0.24
Drought,CHIRPS,Alfred Nzo,2023,-0.26
Drought,CHIRPS,Ugu,2023,-0.26
Drought,CHIRPS,Xhariep,2023,-0.24
Drought,CHIRPS,Harry Gwala,2023,-0.26
Drought,CHIRPS,eThekwini,2023,-0.25
Drought,CHIRPS,uMgungundlovu,2023,-0.26
Drought,CHIRPS,ZF Mgcawu,2023,0.24
Drought,CHIRPS,iLembe,2023,-0.26
Drought,CHIRPS,Mangaung,2023,-0.25
Drought,CHIRPS,Thabo Mofutsanyane,2023,-0.26
Drought,CHIRPS,uThukela,2023,-0.27
Drought,CHIRPS,uMzinyathi,2023,-0.26
Drought,CHIRPS,King Cetshwayo,2023,-0.25
Drought,CHIRPS,Lejweleputswa,2023,-0.22
Drought,CHIRPS,Frances Baard,2023,-0.24
Drought,CHIRPS,Zululand,2023,-0.26
Drought,CHIRPS,uMkhanyakude,2023,-0.25
Drought,CHIRPS,Fezile Dabi,2023,-0.18
Drought,CHIRPS,Amajuba,2023,-0.25
Drought,CHIRPS,Dr Ruth Segomotsi Mompati,2023,-0.24
Drought,CHIRPS,John Taolo Gaetsewe,2023,-0.23
Drought,CHIRPS,Dr Kenneth Kaunda,2023,0.13
Drought,CHIRPS,Gert Sibande,2023,-0.26
Drought,CHIRPS,Ngaka Modiri Molema,2023,-0.1
Drought,CHIRPS,Sedibeng,2023,-0.23
Drought,CHIRPS,West Rand,2023,-0.17
Drought,CHIRPS,Ekurhuleni,2023,-0.23
Drought,CHIRPS,City of Johannesburg,2023,-0.24
Drought,CHIRPS,Nkangala,2023,-0.24
Drought,CHIRPS,Bojanala,2023,0.04
Drought,CHIRPS,City of Tshwane,2023,-0.17
Drought,CHIRPS,Ehlanzeni,2023,-0.25
Drought,CHIRPS,Sekhukhune,2023,-0.24
Drought,CHIRPS,Waterberg,2023,0.02
Drought,CHIRPS,Capricorn,2023,0.63
Drought,CHIRPS,Mopani,2023,-0.24
Drought,CHIRPS,Vhembe,2023,-0.08
Drought,CHIRPS,Overberg,2024,-0.26
Drought,CHIRPS,Garden Route,2024,-0.26
Drought,CHIRPS,City of Cape Town,2024,-0.25
Drought,CHIRPS,Cacadu,2024,-0.25
Drought,CHIRPS,Cape Winelands,2024,-0.24
Drought,CHIRPS,Nelson Mandela Bay,2024,-0.26
Drought,CHIRPS,West Coast,2024,-0.23
Drought,CHIRPS,Central Karoo,2024,-0.25
Drought,CHIRPS,Amathole,2024,-0.26
Drought,CHIRPS,Buffalo City,2024,-0.27
Drought,CHIRPS,Namakwa,2024,-0.22
Drought,CHIRPS,Chris Hani,2024,-0.18
Drought,CHIRPS,OR Tambo,2024,-0.26
Drought,CHIRPS,Pixley ka Seme,2024,-0.14
Drought,CHIRPS,Joe Gqabi,2024,-0.06
Drought,CHIRPS,Alfred Nzo,2024,-0.26
Drought,CHIRPS,Ugu,2024,-0.26
Drought,CHIRPS,Xhariep,2024,-0.24
Drought,CHIRPS,Harry Gwala,2024,-0.23
Drought,CHIRPS,eThekwini,2024,-0.25
Drought,CHIRPS,uMgungundlovu,2024,-0.26
Drought,CHIRPS,ZF Mgcawu,2024,0.19
Drought,CHIRPS,iLembe,2024,-0.26
Drought,CHIRPS,Mangaung,2024,-0.25
Drought,CHIRPS,Thabo Mofutsanyane,2024,-0.26
Drought,CHIRPS,uThukela,2024,-0.27
Drought,CHIRPS,uMzinyathi,2024,-0.26
Drought,CHIRPS,King Cetshwayo,2024,-0.25
Drought,CHIRPS,Lejweleputswa,2024,-0.25
Drought,CHIRPS,Frances Baard,2024,-0.24
Drought,CHIRPS,Zululand,2024,-0.26
Drought,CHIRPS,uMkhanyakude,2024,-0.25
Drought,CHIRPS,Fezile Dabi,2024,-0.26
Drought,CHIRPS,Amajuba,2024,-0.25
Drought,CHIRPS,Dr Ruth Segomotsi Mompati,2024,-0.24
Drought,CHIRPS,John Taolo Gaetsewe,2024,-0.23
Drought,CHIRPS,Dr Kenneth Kaunda,2024,-0.22
Drought,CHIRPS,Gert Sibande,2024,-0.26
Drought,CHIRPS,Ngaka Modiri Molema,2024,-0.23
Drought,CHIRPS,Sedibeng,2024,-0.25
Drought,CHIRPS,West Rand,2024,-0.24
Drought,CHIRPS,Ekurhuleni,2024,-0.25
Drought,CHIRPS,City of Johannesburg,2024,-0.24
Drought,CHIRPS,Nkangala,2024,-0.25
Drought,CHIRPS,Bojanala,2024,-0.2
Drought,CHIRPS,City of Tshwane,2024,-0.22
Drought,CHIRPS,Ehlanzeni,2024,-0.25
Drought,CHIRPS,Sekhukhune,2024,-0.24
Drought,CHIRPS,Waterberg,2024,-0.14
Drought,CHIRPS,Capricorn,2024,0.02
Drought,CHIRPS,Mopani,2024,-0.24
Drought,CHIRPS,Vhembe,2024,-0.21
Drought,CHIRPS,Overberg,2025,1.79
Drought,CHIRPS,Garden Route,2025,2.4
Drought,CHIRPS,City of Cape Town,2025,-0.24
Drought,CHIRPS,Cacadu,2025,0.18
Drought,CHIRPS,Cape Winelands,2025,1.35
Drought,CHIRPS,Nelson Mandela Bay,2025,0.4
Drought,CHIRPS,West Coast,2025,-0.21
Drought,CHIRPS,Central Karoo,2025,0.47
Drought,CHIRPS,Amathole,2025,-0.27
Drought,CHIRPS,Buffalo City,2025,-0.27
Drought,CHIRPS,Namakwa,2025,-0.18
Drought,CHIRPS,Chris Hani,2025,-0.25
Drought,CHIRPS,OR Tambo,2025,-0.27
Drought,CHIRPS,Pixley ka Seme,2025,-0.24
Drought,CHIRPS,Joe Gqabi,2025,-0.24
Drought,CHIRPS,Alfred Nzo,2025,-0.29
Drought,CHIRPS,Ugu,2025,-0.28
Drought,CHIRPS,Xhariep,2025,-0.26
Drought,CHIRPS,Harry Gwala,2025,-0.29
Drought,CHIRPS,eThekwini,2025,-0.27
Drought,CHIRPS,uMgungundlovu,2025,-0.28
Drought,CHIRPS,ZF Mgcawu,2025,-0.23
Drought,CHIRPS,iLembe,2025,-0.28
Drought,CHIRPS,Mangaung,2025,-0.28
Drought,CHIRPS,Thabo Mofutsanyane,2025,-0.28
Drought,CHIRPS,uThukela,2025,-0.29
Drought,CHIRPS,uMzinyathi,2025,-0.26
Drought,CHIRPS,King Cetshwayo,2025,-0.27
Drought,CHIRPS,Lejweleputswa,2025,-0.27
Drought,CHIRPS,Frances Baard,2025,-0.24
Drought,CHIRPS,Zululand,2025,-0.26
Drought,CHIRPS,uMkhanyakude,2025,-0.26
Drought,CHIRPS,Fezile Dabi,2025,-0.27
Drought,CHIRPS,Amajuba,2025,-0.26
Drought,CHIRPS,Dr Ruth Segomotsi Mompati,2025,-0.24
Drought,CHIRPS,John Taolo Gaetsewe,2025,-0.24
Drought,CHIRPS,Dr Kenneth Kaunda,2025,-0.26
Drought,CHIRPS,Gert Sibande,2025,-0.26
Drought,CHIRPS,Ngaka Modiri Molema,2025,-0.26
Drought,CHIRPS,Sedibeng,2025,-0.26
Drought,CHIRPS,West Rand,2025,-0.25
Drought,CHIRPS,Ekurhuleni,2025,-0.26
Drought,CHIRPS,City of Johannesburg,2025,-0.25
Drought,CHIRPS,Nkangala,2025,-0.26
Drought,CHIRPS,Bojanala,2025,-0.25
Drought,CHIRPS,City of Tshwane,2025,-0.25
Drought,CHIRPS,Ehlanzeni,2025,-0.25
Drought,CHIRPS,Sekhukhune,2025,-0.25
Drought,CHIRPS,Waterberg,2025,-0.25
Drought,CHIRPS,Capricorn,2025,-0.25
Drought,CHIRPS,Mopani,2025,-0.24
Drought,CHIRPS,Vhembe,2025,-0.24
