component,model,district,year,value
Drought,CHIRPS,Garden Route,2013,-0.25
Drought,CHIRPS,City of Cape Town,2013,-0.25
Drought,CHIRPS,Cacadu,2013,-0.24
Drought,CHIRPS,Cape Winelands,2013,-0.24
Drought,CHIRPS,Nelson Mandela Bay,2013,-0.15
Drought,CHIRPS,West Coast,2013,-0.19
Drought,CHIRPS,Central Karoo,2013,-0.25
Drought,CHIRPS,Amathole,2013,-0.24
Drought,CHIRPS,Buffalo City,2013,-0.25
Drought,CHIRPS,Namakwa,2013,-0.2
Drought,CHIRPS,Chris Hani,2013,-0.22
Drought,CHIRPS,OR Tambo,2013,-0.25
Drought,CHIRPS,Pixley ka Seme,2013,-0.24
Drought,CHIRPS,Joe Gqabi,2013,-0.2
Drought,CHIRPS,Alfred Nzo,2013,-0.26
Drought,CHIRPS,Ugu,2013,-0.26
Drought,CHIRPS,Xhariep,2013,-0.22
Drought,CHIRPS,Harry Gwala,2013,-0.26
Drought,CHIRPS,eThekwini,2013,-0.25
Drought,CHIRPS,uMgungundlovu,2013,-0.26
Drought,CHIRPS,ZF Mgcawu,2013,-0.17
Drought,CHIRPS,iLembe,2013,-0.26
Drought,CHIRPS,Mangaung,2013,-0.24
Drought,CHIRPS,Thabo Mofutsanyane,2013,-0.25
Drought,CHIRPS,uThukela,2013,-0.27
Drought,CHIRPS,uMzinyathi,2013,-0.26
Drought,CHIRPS,King Cetshwayo,2013,-0.25
Drought,CHIRPS,Lejweleputswa,2013,-0.22
Drought,CHIRPS,Frances Baard,2013,-0.22
Drought,CHIRPS,Zululand,2013,-0.26
Drought,CHIRPS,uMkhanyakude,2013,-0.25
Drought,CHIRPS,Fezile Dabi,2013,-0.18
Drought,CHIRPS,Amajuba,2013,-0.25
Drought,CHIRPS,Dr Ruth Segomotsi Mompati,2013,-0.2
Drought,CHIRPS,John Taolo Gaetsewe,2013,0.18
Drought,CHIRPS,Dr Kenneth Kaunda,2013,-0.2
Drought,CHIRPS,Gert Sibande,2013,-0.24
Drought,CHIRPS,Ngaka Modiri Molema,2013,-0.19
Drought,CHIRPS,Sedibeng,2013,-0.23
Drought,CHIRPS,West Rand,2013,-0.26
Drought,CHIRPS,Ekurhuleni,2013,-0.19
Drought,CHIRPS,City of Johannesburg,2013,-0.25
Drought,CHIRPS,Nkangala,2013,-0.2
Drought,CHIRPS,Bojanala,2013,-0.23
Drought,CHIRPS,City of Tshwane,2013,-0.25
Drought,CHIRPS,Ehlanzeni,2013,-0.25
Drought,CHIRPS,Sekhukhune,2013,-0.24
Drought,CHIRPS,Waterberg,2013,-0.24
Drought,CHIRPS,Capricorn,2013,-0.24
Drought,CHIRPS,Mopani,2013,-0.24
Drought,CHIRPS,Vhembe,2013,-0.24
Drought,CHIRPS,Overberg,2014,-0.26
Drought,CHIRPS,Garden Route,2014,-0.25
Drought,CHIRPS,City of Cape Town,2014,-0.25
Drought,CHIRPS,Cacadu,2014,-0.26
Drought,CHIRPS,Cape Winelands,2014,-0.24
Drought,CHIRPS,Nelson Mandela Bay,2014,-0.24
Drought,CHIRPS,West Coast,2014,-0.24
Drought,CHIRPS,Central Karoo,2014,-0.25
Drought,CHIRPS,Amathole,2014,-0.27
Drought,CHIRPS,Buffalo City,2014,-0.27
Drought,CHIRPS,Namakwa,2014,-0.23
Drought,CHIRPS,Chris Hani,2014,-0.25
Drought,CHIRPS,OR Tambo,2014,-0.24
Drought,CHIRPS,Pixley ka Seme,2014,-0.19
Drought,CHIRPS,Joe Gqabi,2014,-0.24
Drought,CHIRPS,Alfred Nzo,2014,-0.25
Drought,CHIRPS,Ugu,2014,-0.1
Drought,CHIRPS,Xhariep,2014,-0.2
Drought,CHIRPS,Harry Gwala,2014,0.63
Drought,CHIRPS,eThekwini,2014,0.39
Drought,CHIRPS,uMgungundlovu,2014,0.58
Drought,CHIRPS,ZF Mgcawu,2014,-0.23
Drought,CHIRPS,iLembe,2014,0.3
Drought,CHIRPS,Mangaung,2014,-0.25
Drought,CHIRPS,Thabo Mofutsanyane,2014,-0.25
Drought,CHIRPS,uThukela,2014,0.27
Drought,CHIRPS,uMzinyathi,2014,-0.06
Drought,CHIRPS,King Cetshwayo,2014,0.36
Drought,CHIRPS,Lejweleputswa,2014,-0.24
Drought,CHIRPS,Frances Baard,2014,-0.21
Drought,CHIRPS,Zululand,2014,-0.01
Drought,CHIRPS,uMkhanyakude,2014,-0.12
Drought,CHIRPS,Fezile Dabi,2014,-0.17
Drought,CHIRPS,Amajuba,2014,-0.24
Drought,CHIRPS,Dr Ruth Segomotsi Mompati,2014,-0.23
Drought,CHIRPS,John Taolo Gaetsewe,2014,-0.22
Drought,CHIRPS,Dr Kenneth Kaunda,2014,-0.22
Drought,CHIRPS,Gert Sibande,2014,-0.25
Drought,CHIRPS,Ngaka Modiri Molema,2014,-0.19
Drought,CHIRPS,Sedibeng,2014,-0.2
Drought,CHIRPS,West Rand,2014,-0.17
Drought,CHIRPS,Ekurhuleni,2014,-0.2
Drought,CHIRPS,City of Johannesburg,2014,-0.23
Drought,CHIRPS,Nkangala,2014,-0.25
Drought,CHIRPS,Bojanala,2014,-0.2
Drought,CHIRPS,City of Tshwane,2014,-0.24
Drought,CHIRPS,Ehlanzeni,2014,-0.22
Drought,CHIRPS,Sekhukhune,2014,-0.24
Drought,CHIRPS,Waterberg,2014,-0.23
Drought,CHIRPS,Capricorn,2014,-0.24
Drought,CHIRPS,Mopani,2014,-0.24
Drought,CHIRPS,Vhembe,2014,-0.24
Drought,CHIRPS,Overberg,2015,-0.1
Drought,CHIRPS,Garden Route,2015,0.46
Drought,CHIRPS,City of Cape Town,2015,-0.2
Drought,CHIRPS,Cacadu,2015,-0.23
Drought,CHIRPS,Cape Winelands,2015,-0.05
Drought,CHIRPS,Nelson Mandela Bay,2015,-0.26
Drought,CHIRPS,West Coast,2015,-0.12
Drought,CHIRPS,Central Karoo,2015,0.54
Drought,CHIRPS,Amathole,2015,-0.27
Drought,CHIRPS,Buffalo City,2015,-0.27
